question,answer,question_vi,answer_vi
In which country was the electric rice cooker invented?,Japan,Nồi cơm điện được phát minh ở nước nào?,Nhật Bản
In which country was the famed revolutionary and military strategist Simón Bolívar born?,Venezuela,Nhà chiến lược quân sự và cách mạng nổi tiếng Simón Bolívar sinh ra ở nước nào?,Venezuela
In which country was the microscope invented?,The Netherlands,Kính hiển vi được phát minh ở nước nào?,Hà Lan
"In which country was the Somme, the most infamous battlefield in World War I, located?",France,"Somme, chiến trường khét tiếng nhất trong Thế chiến thứ nhất, nằm ở quốc gia nào?",Pháp
In which country were instant noodles first invented?,Japan,Mì ăn liền được phát minh đầu tiên ở nước nào?,Nhật Bản
In which country were the Wars of the Roses fought?,England,Cuộc chiến hoa hồng diễn ra ở quốc gia nào?,nước Anh
"In which English palace did the “Star Chamber"" sit?",Palace of Westminster,"""Star Chamber"" tọa lạc ở cung điện nước Anh nào?",Cung điện Westminster
In which English stadium was the 1966 World Cup Final held?,Wembley Stadium,Trận chung kết World Cup 1966 được tổ chức ở sân vận động nào của Anh?,Sân vận động Wembley
In which era of French history was the Arc de Triomphe built?,Napoleonic era,Khải Hoàn Môn được xây dựng vào thời kỳ nào trong lịch sử nước Pháp?,thời đại Napoléon
In which era was the very first pyramid of ancient Egypt constructed?,The Third Dynasty of Egypt,Kim tự tháp đầu tiên của Ai Cập cổ đại được xây dựng vào thời đại nào?,Vương triều thứ ba của Ai Cập
In which gallery is the Mona Lisa currently held?,The Louvre,Bức tranh Mona Lisa hiện đang được lưu giữ ở phòng trưng bày nào?,bảo tàng Louvre
In which lake is Olkhon Island located?,Lake Baikal,Đảo Olkhon nằm ở hồ nào?,Hồ Baikal
In which of these campaigns did Thutmose III take part?,The Battle of Megiddo,Thutmose III đã tham gia vào chiến dịch nào trong số này?,Trận chiến Megiddo
In which of these works does Sherlock Holmes make his first appearance?,A Study in Scarlet,Sherlock Holmes xuất hiện lần đầu trong tác phẩm nào?,Một nghiên cứu ở Scarlet
In which region did the popular health food hummus originate?,Middle East,Món hummus thực phẩm tốt cho sức khỏe phổ biến có nguồn gốc từ khu vực nào?,Trung Đông
In which region in Italy is the Cathedrawl of Santa Maria del Fiore located?,Tuscany,Nhà thờ lớn Santa Maria del Fiore nằm ở khu vực nào ở Ý?,Tuscany
In which region was the empire of Srivijaya located?,Southeast Asia,Đế chế Srivijaya nằm ở khu vực nào?,Đông Nam Á
In which theater was Beethoven’s Symphony No. 5 in C Minor debuted in 1808?,The Theater an der Wien,Bản giao hưởng số 5 cung C thứ của Beethoven được ra mắt tại nhà hát nào vào năm 1808?,Nhà hát an der Wien
In which two years was the World Cup suspended due to World War II?,1942 & 1946,World Cup bị đình chỉ trong hai năm nào do Thế chiến thứ hai?,1942 & 1946
In which UK city were The Beatles founded in 1960?,Liverpool,The Beatles được thành lập vào năm 1960 ở thành phố nào của Vương quốc Anh?,Liverpool
"In which World Cup did England captain Harry Kane score 6 goals, earning him the Golden Boot award?",2018 Russia World Cup,"Đội trưởng đội tuyển Anh Harry Kane ghi 6 bàn ở World Cup nào, mang về danh hiệu Chiếc giày vàng?",World Cup 2018 của Nga
In which World Cup did Spain win its first World Cup?,2010 South Africa World Cup,Tây Ban Nha lần đầu tiên vô địch World Cup ở kỳ World Cup nào?,Giải vô địch bóng đá thế giới Nam Phi 2010
In which year did Alexander Fleming discover penicillin?,1928.0,Alexander Fleming đã khám phá ra penicillin vào năm nào?,1928.0
In which year did every World Cup start having a mascot?,1966.0,Mỗi kỳ World Cup bắt đầu có linh vật vào năm nào?,1966.0
In which year did Richard the Lionheart and Saladin sign a truce?,1192.0,Richard the Lionheart và Saladin ký hiệp định đình chiến vào năm nào?,1192.0
In which year was the Battle of Guandu?,200.0,Trận Quan Độ diễn ra vào năm nào?,"200,0"
"In which year was the first edition of “The Diary of Anne Frank"" published?",1947.0,Ấn bản đầu tiên của Nhật ký Anne Frank được xuất bản vào năm nào?,1947.0
In which year was the first Wimbledon Tennis Championship held?,1877.0,Giải quần vợt Wimbledon đầu tiên được tổ chức vào năm nào?,1877.0
In which year was the Napoleonic Code established?,1804.0,Bộ luật Napoléon được ban hành vào năm nào?,1804.0
In which year was the Soviet Union formally established?,1922.0,Liên Xô chính thức được thành lập vào năm nào?,1922.0
In which year was the Tianwen-1 Mars probe launched?,2020.0,Tàu thăm dò sao Hỏa Tianwen-1 được phóng vào năm nào?,2020.0
In whose workshop did Leonardo da Vinci apprentice?,Andrea del Verrocchio,Leonardo da Vinci học việc ở xưởng nào?,Andrea del Verrocchio
Insufficient intake of which element may cause the thyromegaly?,Iodine,Ăn không đủ chất nào có thể gây phì đại tuyến giáp?,Iốt
Into what kind of deity was Imhotep deified following his death?,A god of medicine,Imhotep được phong làm vị thần nào sau cái chết của ông?,Thần y học
Into what shape does commander Yi Seong-Gye’s fan-shaped active skill transform after gaining Expertise?,A circle,Kỹ năng chủ động hình quạt của chỉ huy Yi Seong-Gye biến đổi thành hình dạng gì sau khi đạt được Chuyên môn?,Một vòng tròn
Japanese ivy grows upward on walls and trees in order to capture energy from which source?,Sunlight,Cây thường xuân Nhật Bản mọc lên trên tường và cây để thu năng lượng từ nguồn nào?,Ánh nắng
"Johannes Vermeer, the painter of Girl with a Pearl Earring, was from which country?",The Netherlands,"Johannes Vermeer, họa sĩ vẽ Cô gái đeo bông tai ngọc trai, đến từ nước nào?",Hà Lan
Keira once defied the world’s expectations about her in a glorious battle. Where did this battle take place?,Sunset Canyon,Keira từng thách thức sự kỳ vọng của thế giới về cô trong một trận chiến vẻ vang.Trận chiến này diễn ra ở đâu?,Hẻm núi hoàng hôn
Know thyself was a widely-known aphorism of which country?,Ancient Greece,Biết mình là câu cách ngôn nổi tiếng của nước nào?,Hy Lạp cổ đại
Lactose intolerance is caused by a shortage of what?,Lactase,Không dung nạp Lactose là do thiếu chất gì?,Lactase
Last of the Romans is an epithet used to describe someone with a classical Roman way of thinking. Who could NOT exemplify that?,Attila,Last of the Romans là một tính từ dùng để mô tả một người có lối suy nghĩ cổ điển của người La Mã.Ai KHÔNG thể làm gương cho điều đó?,Attila
"Legendary commander of the Joseon Dynasty, Yi Sun-sin, sacrificed his life in which famous battle?","Legendary commander of the Joseon Dynasty, Yi Sun-sin, sacrificed his life in which famous battle?","Vị chỉ huy huyền thoại của triều đại Joseon, Yi Sun-sin, đã hy sinh mạng sống trong trận chiến nổi tiếng nào?","Vị chỉ huy huyền thoại của triều đại Joseon, Yi Sun-sin, đã hy sinh mạng sống trong trận chiến nổi tiếng nào?"
"Li Xin, the ancestor of the “Flying General"" Li Guang, was a general of which state during the Warring States period of Chinese history?",Qin,"Lý Hâm, tổ tiên của “Phi tướng” Lý Quang, là tướng của nước nào trong thời Chiến Quốc trong lịch sử Trung Quốc?",Tần
Machu Picchu is a notable relic of which civilization?,The Incas,Machu Picchu là di tích nổi bật của nền văn minh nào?,người Inca
Man of Peace is the nickname of which commander?,Imhotep,Người Hòa Bình là biệt danh của vị chỉ huy nào?,Imhotep
Messi has used 6 different jersey numbers in his career. What are those 6 numbers?,"10, 14, 15, 18, 19, 30",Messi đã sử dụng 6 số áo khác nhau trong sự nghiệp.6 số đó là gì?,"10, 14, 15, 18, 19, 30"
Methods of mitigating desertification do NOT include:,Overexploitation of groundwater,Các phương pháp giảm thiểu sa mạc hóa KHÔNG bao gồm:,Khai thác quá mức nước ngầm
Military strategist Belisarius served as a personal bodyguard to which emperor in his youth?,Justinianus I,Chiến lược gia quân sự Belisarius từng là vệ sĩ riêng cho vị hoàng đế nào khi còn trẻ?,Justinianus I
Miroslav Klose holds the record for most goals scored in the World Cup. How many goals has he scored?,16.0,Miroslav Klose giữ kỷ lục ghi nhiều bàn thắng nhất ở World Cup.Anh ấy đã ghi được bao nhiêu bàn thắng?,16.0
Murasaki is a character in which of the following works?,Tale of Genji,Murasaki là nhân vật trong tác phẩm nào sau đây?,Câu chuyện về Genji
Mutations are important because they bring about what?,Genetic variation needed for a population to evolve,Đột biến rất quan trọng vì chúng mang lại kết quả gì?,Sự biến đổi di truyền cần thiết cho quần thể tiến hóa
Northern Humanists like Erasmus were most commonly known for what?,Interest in religious and social reform,Những người theo chủ nghĩa nhân văn phương Bắc như Erasmus được biết đến nhiều nhất vì điều gì?,Quan tâm đến cải cách tôn giáo và xã hội
"Noted Danish archaeologist Christian Jürgensen Thomsen proposed the “three ages"" system for categorizing ancient history. Which is the first stage?",Stone Age,Nhà khảo cổ học nổi tiếng người Đan Mạch Christian Jürgensen Thomsen đã đề xuất hệ thống “ba thời đại” để phân loại lịch sử cổ đại.Đâu là giai đoạn đầu tiên?,thời kỳ đồ đá
"Of the 12 Chinese Zodiac animals, which comes first?",Rat,"Trong 12 con giáp của Trung Quốc, con nào đứng trước?",Chuột
"Of the below commanders, which is best suited to lead troops AGAINST archer enemies?",Cao Cao,"Trong số các chỉ huy dưới đây, tướng nào phù hợp nhất để dẫn quân CHỐNG LẠI kẻ thù là cung thủ?",Tào Tháo
"Of the below commanders, which is best suited to lead troops AGAINST cavalry enemies?",Sun Tzu,"Trong số các chỉ huy dưới đây, tướng nào phù hợp nhất để dẫn quân CHỐNG kỵ binh địch?",Tôn Tử
"Of the below commanders, which is best suited to lead troops AGAINST infantry enemies?",Hermann,"Trong số các chỉ huy dưới đây, tướng nào phù hợp nhất để dẫn quân CHỐNG địch bộ binh?",Hermann
"Of the below commanders, which is best suited to lead troops when gathering resources?",Seondeok,"Trong số các chỉ huy dưới đây, ai là người phù hợp nhất để dẫn quân khi thu thập tài nguyên?",Seondeok
"Of the following, which is most likely to have directly led to the Bronze Age?",Bronze is harder and more durable than other metals available at the time,"Trong số những điều sau đây, điều nào có nhiều khả năng trực tiếp dẫn đến Thời đại đồ đồng nhất?",Đồng cứng hơn và bền hơn các kim loại khác vào thời điểm đó
"On its tragic maiden voyage, what was the Titanic’s intended destination?",New York,"Trong chuyến hành trình đầu tiên bi thảm, đích đến dự định của tàu Titanic là gì?",New York
On which animal was the 2018 Russia World Cup’s mascot based on?,Wolf,Linh vật của World Cup 2018 ở Nga dựa trên con vật nào?,Sói
On which continent did the serval first live?,Africa,Người hầu đầu tiên sống ở lục địa nào?,Châu Phi
On which continent is Benin located?,Africa,Bénin nằm ở châu lục nào?,Châu Phi
On which continent is the human race generally thought to have originated?,Africa,Loài người thường được cho là có nguồn gốc ở lục địa nào?,Châu Phi
On which ingredient was the 1986 Mexico World Cup’s mascot based on?,Pepper,Linh vật của World Cup 1986 ở Mexico dựa trên thành phần nào?,hạt tiêu
"One “day"" on the planet Venus is approximately equal to how many earth days?",243 days,Một “ngày” trên sao Kim xấp xỉ bằng bao nhiêu ngày trên trái đất?,243 ngày
One hundred forty thousand all disarmed! Among these was there not a single man? Which Tang-dynasty poet wrote this couplet?,Madame Huarui,Một trăm bốn mươi ngàn tất cả đều bị tước vũ khí!Trong số này không có một người đàn ông nào sao?Nhà thơ đời Đường nào đã viết câu đối này?,Bà Hoa Thụy
One of the benefits of canned food is its long shelf life. Where were the first canned herrings made?,Northern Europe,Một trong những lợi ích của thực phẩm đóng hộp là thời hạn sử dụng lâu dài.Cá trích đóng hộp đầu tiên được sản xuất ở đâu?,Bắc Âu
Pandas have 5 clawed toes on as well as a sixth digit. What do pandas use their sixth digit for?,To hold bamboo while eating,Gấu trúc có 5 ngón chân có móng vuốt cũng như ngón chân thứ sáu.Gấu trúc sử dụng chữ số thứ sáu để làm gì?,Để cầm tre khi ăn
Passport Pages are used when immigrating to other Kingdoms. What does the number of Passport Pages used depend on?,Governor’s Individual Power,Trang hộ chiếu được sử dụng khi di cư sang các Vương quốc khác.Số trang hộ chiếu được sử dụng phụ thuộc vào điều gì?,Quyền lực cá nhân của Thống đốc
Peppers have been farmed for millennia. Which continent can we trace their origins back to?,The Americas,Ớt đã được trồng trong nhiều thiên niên kỷ.Chúng ta có thể truy tìm nguồn gốc của chúng ở lục địa nào?,Châu Mỹ
Puncture Wounds is the skill of which character in Ceroli Crisis?,Astrid,Vết thương thủng là kỹ năng của nhân vật nào trong Ceroli Crisis?,Astrid
Qatar follows Arabia Standard Time. How would that be notated using UTC?,UTC+3:00,Qatar tuân theo Giờ chuẩn Ả Rập.Làm thế nào điều đó sẽ được ghi chú bằng UTC?,UTC+3:00
Queen Guinevere fell in love with which Knight of the Round Table according to Arthurian legend?,Lancelot,Nữ hoàng Guinevere đã yêu Hiệp sĩ Bàn tròn nào theo truyền thuyết Arthurian?,Lancelot
Queen Victoria of England was part of which royal house?,The House of Hanover,Nữ hoàng Victoria của Anh là thành viên của hoàng gia nào?,Nhà Hannover
Raphael is best known for his creation of which of the following?,School of Athens,Raphael được biết đến nhiều nhất với tác phẩm nào sau đây?,Trường học Athens
"Ru ware is one of the most famous types of Chinese pottery, known for its delicate pale blue glaze. Which dynasty did it originate from?",Song,"Đồ gốm Ru là một trong những loại gốm nổi tiếng nhất của Trung Quốc, được biết đến với lớp men màu xanh nhạt tinh tế.Nó có nguồn gốc từ triều đại nào?",Bài hát
"Sandro Botticelli’s painting “Venus and Mars"" is famed for its vivid colors and beautiful figures. In which gallery is this painting now housed?",The National Gallery in London,Bức tranh “Sao Kim và Sao Hỏa” của Sandro Botticelli nổi tiếng với màu sắc sống động và hình dáng đẹp mắt.Hiện nay bức tranh này được trưng bày ở phòng trưng bày nào?,Phòng trưng bày Quốc gia ở Luân Đôn
Santa Claus travels on a sleigh pulled by what animal?,Reindeer,Ông già Noel đi trên chiếc xe trượt tuyết do con vật nào kéo?,tuần lộc
"Screenwriter Marguerite Duras is known for writing the film “Hiroshima mon amour"". Where was she born?",Vietnam,Nhà biên kịch Marguerite Duras được biết đến là người viết kịch bản cho bộ phim “Hiroshima mon amour”.Cô ấy sinh ra ở đâu?,Việt Nam
Seondeok was Queen of Silla (part of modern-day Korea). What was her birth name?,Kim Deokman,Seondeok là Nữ hoàng của Silla (một phần của Hàn Quốc ngày nay).Tên khai sinh của cô ấy là gì?,Kim Deokman
Shanghai’s Jin Mao Tower has how many floors?,88.0,Tháp Jin Mao của Thượng Hải có bao nhiêu tầng?,"88,0"
"Since its founding in 1863, how many times has the International Committee of the Red Cross won the Nobel Peace Prize?",3.0,"Kể từ khi thành lập năm 1863, Ủy ban Chữ Thập Đỏ Quốc tế đã bao nhiêu lần đoạt giải Nobel Hòa bình?",3.0
Some toothpastes contain powdered calcium carbonate. What is its function?,Acts as an abrasive,Một số loại kem đánh răng có chứa canxi cacbonat dạng bột.Chức năng của nó là gì?,Hoạt động như một chất mài mòn
"Thanks to large deposits of borax and pigment from local algae, the Laguna Colorada is a fantastical landscape of red and white. What country is it located in?",Bolivia,"Nhờ trữ lượng lớn borax và chất màu từ tảo địa phương, Laguna Colorada là một cảnh quan tuyệt vời với màu đỏ và trắng.Nó nằm ở nước nào?",Bôlivia
"The “Battle of Las Navas de Tolosa"" was a major turning point in which conflict?",The Reconquista,“Trận Las Navas de Tolosa” là bước ngoặt lớn trong cuộc xung đột nào?,Người tái chinh phục
"The “Beef Wellington"" involves cooking filet mignon wrapped inside which other ingredient?",Puff pastry,"Món “Thịt bò Wellington"" liên quan đến việc nấu thịt thăn bò được bọc bên trong nguyên liệu nào khác?",Bánh phồng
"The “Day of the Tiles"" is regarded by some historians to mark the beginning of the French Revolution. In what city did it take place?",Grenoble,Một số nhà sử học coi “Ngày Ngói” là ngày đánh dấu sự khởi đầu của Cách mạng Pháp.Nó diễn ra ở thành phố nào?,Grenoble
"The “Dragonfly Cutter"" was the weapon of choice of which legendary warrior?",Honda Tadakatsu,“Dao cắt chuồn chuồn” là vũ khí được chiến binh huyền thoại nào lựa chọn?,Honda Tadakatsu
"The “El Nino"" phenomenon is named after which of these festivals?",Christmas,Hiện tượng “El Nino” được đặt theo tên của lễ hội nào sau đây?,giáng sinh
"The “Independence March"" is the national anthem of which country?",Turkey,“Tuần hành Độc lập” là quốc ca của nước nào?,Thổ Nhĩ Kỳ
"The “Three Great Philosophers"" of Ancient Greece were Plato, Aristotle, and who?",Socrates,"“Ba nhà triết học vĩ đại” của Hy Lạp cổ đại là Plato, Aristotle và ai?",Socrates
"The “Windsor knot"" was made popular by which king of England?",Edward VIII,“Nút thắt Windsor” được vị vua nào của nước Anh phổ biến?,Edward VIII
"The 1,000 point achievement chest includes:",Epic Commander Sculpture,Rương thành tích 1.000 điểm bao gồm:,Điêu khắc chỉ huy sử thi
The 2022 World Cup will be the first men’s world cup with female referees. How many will there by?,3.0,World Cup 2022 sẽ là World Cup nam đầu tiên có trọng tài nữ.Có bao nhiêu người sẽ đến đó?,3.0
"The 24 “solar terms"" are a traditional Chinese calendar system used for what purpose?",Agriculture,24 “mặt trời” là hệ thống lịch truyền thống của Trung Quốc được sử dụng với mục đích gì?,Nông nghiệp
The Academy Awards occasionally presents the Jean Hersholt Humanitarian Award. Which of these films was Jean Hersholt in?,Greed (1924),Giải thưởng Viện hàn lâm thỉnh thoảng trao Giải thưởng Nhân đạo Jean Hersholt.Jean Hersholt đã tham gia bộ phim nào trong số này?,Lòng tham (1924)
The air often feels fresher after a thunderstorm because it has been enriched with which gas?,Ozone,Không khí thường có cảm giác trong lành hơn sau cơn giông vì đã được làm giàu bằng khí nào?,ôzôn
"The Alliance Technology “Territory Guardian"" increases which attribute of troops when battling in Alliance territory?",Attack,Công nghệ Liên minh “Người bảo vệ lãnh thổ” tăng thuộc tính nào của quân đội khi chiến đấu trong lãnh thổ Liên minh?,tấn công
"The Ancient Olympic Games were held every 4 years at Olympia, in southwest Greece. In what year are they believed to have begun?",776 BCE,"Thế vận hội Olympic cổ đại được tổ chức 4 năm một lần tại Olympia, phía tây nam Hy Lạp.Người ta tin rằng chúng đã bắt đầu vào năm nào?",776 TCN
"The Aral Sea was once the world’s fourth largest lake, but since then it has mostly dried up. Where is it located?",Central Asia,Biển Aral từng là hồ lớn thứ tư thế giới nhưng kể từ đó nó gần như cạn kiệt.Nó nằm ở đâu?,Trung Á
The auction house Sotheby’s was founded in 1744 in which English city?,London,Nhà đấu giá Sotheby's được thành lập vào năm 1744 tại thành phố nào của Anh?,Luân Đôn
"The Bastille, a prison once located in the center of Paris, France, originally served what purpose?",Defensive Fortress,"Bastille, một nhà tù từng nằm ở trung tâm Paris, Pháp, ban đầu phục vụ mục đích gì?",Pháo đài phòng thủ
The blueprint fragments of which of the following accessories CANNOT be redeemed from the Season of Conquest Shop?,Pendant of Eternal Night,Các mảnh bản thiết kế của phụ kiện nào sau đây KHÔNG THỂ đổi được từ Cửa hàng Mùa Chinh Phục?,Mặt dây chuyền của đêm vĩnh cửu
The borders of which of these countries extend across two continents?,Egypt,Biên giới của quốc gia nào sau đây kéo dài qua hai châu lục?,Ai Cập
The cathedral of Notre-Dame de Paris was built in which style?,Gothic,Nhà thờ Đức Bà Paris được xây dựng theo phong cách nào?,kiểu Gothic
"The city decoration “Ishtar Gate"" is a tribute to which of the following civilizations?",Babylonia,"Trang trí thành phố ""Cổng Ishtar"" là sự tôn vinh cho nền văn minh nào sau đây?",Babylonia
The coffee bean is in fact a type of…?,Fruit,Hạt cà phê thực chất là một loại…?,trái cây
The Colossus of Rhodes depicts which god of the sun?,Helios,Bức tượng khổng lồ ở Rhodes mô tả vị thần mặt trời nào?,Helios
The Colossus of Rhodes represents which Greek god?,Helios,Bức tượng khổng lồ của Rhodes tượng trưng cho vị thần Hy Lạp nào?,Helios
The concept of ‘separation of powers’ comes from which work by Montesquieu?,The Spirit of Law,Khái niệm “phân chia quyền lực” xuất phát từ tác phẩm nào của Montesquieu?,Tinh thần của pháp luật
The cone-shaped winds of tornadoes are notable for doing what?,Spinning,Gió hình nón của lốc xoáy có tác dụng gì?,Quay
The daily physical activities of the Maya people did NOT include:,Penguin tossing,Các hoạt động thể chất hàng ngày của người Maya KHÔNG bao gồm:,Ném chim cánh cụt
The depth at the deepest point of the Baltic Sea is:,459m,Độ sâu tại điểm sâu nhất của biển Baltic là:,459m
"The end justifies the means was a key belief of the author of “The Prince"". What was his name?",Machiavelli,Mục đích biện minh cho phương tiện là niềm tin then chốt của tác giả “Hoàng tử”.Tên anh ấy là gì?,Machiavelli
"The epic “Poem of El Cid"" originated from which country?",Spain,Sử thi “Bài thơ El Cid” có nguồn gốc từ nước nào?,Tây Ban Nha
The famous Renaissance sculpture Pietà was the work of which artist?,Michelangelo,Tác phẩm điêu khắc nổi tiếng thời Phục hưng Pietà là tác phẩm của nghệ sĩ nào?,Michelangelo
The flag of which country holds the world record of being the oldest continuously used national flag?,Denmark,Quốc kỳ nước nào giữ kỷ lục thế giới là quốc kỳ được sử dụng liên tục lâu đời nhất?,Đan Mạch
"The four biggest musicals in the world are Cats, Les Miserables, Miss Saigon, and…?",The Phantom of the Opera,"Bốn vở nhạc kịch lớn nhất thế giới là Cats, Les Miserables, Miss Sài Gòn, và…?",Bóng ma của nhà hát Opera
"The four major varieties of Guzheng in Ancient China were the Haozhong, Luqi, Jiaowei, and the…?",Raoliang,"Bốn loại đàn tranh chính ở Trung Quốc cổ đại là Hạo Trung, Lộ Kỳ, Giao Vi và…?",Nhiêu Lương
The Gallic rooster is an official national symbol of which country?,France,Gà trống Gallic là biểu tượng quốc gia chính thức của nước nào?,Pháp
The General Carrera Lake originates from the Andes glaciers. Which two countries border the lake?,Argentina and Chile,Hồ General Carrera bắt nguồn từ sông băng Andes.Hai quốc gia nào giáp hồ?,Argentina và Chilê
The general theory of relativity was published by which physicist?,Einstein,Thuyết tương đối rộng được công bố bởi nhà vật lý nào?,Einstein
The Golden Bear Award is given out at which film festival?,Berlin Film Festival,Giải Gấu Vàng được trao tại liên hoan phim nào?,Liên hoan phim Berlin
The Golden Glove/Lev Yashin award is given to the best goalkeeper in the World Cup. In which World Cup was it first awarded?,15th,Giải Găng tay vàng/Lev Yashin được trao cho thủ môn xuất sắc nhất World Cup.Giải vô địch thế giới nào được trao lần đầu tiên?,ngày 15
The Greek alphabet originated from which other writing system?,Phoenician,Bảng chữ cái Hy Lạp có nguồn gốc từ hệ thống chữ viết nào khác?,người Phoenician
The Greek epic The Odyssey records the return of the hero Odysseus from war. Where was his homeland?,Ithaca,Sử thi Hy Lạp Odyssey ghi lại sự trở về của người anh hùng Odysseus sau chiến tranh.Quê hương của ông ở đâu?,ithaca
The kingdom title ‘Queen’ increases which of the following?,Gathering Speed,Danh hiệu 'Nữ hoàng' của vương quốc làm tăng điều nào sau đây?,Tốc độ tập hợp
The Leaning Tower of Pisa is located in which of these countries?,Italy,Tháp nghiêng Pisa nằm ở quốc gia nào sau đây?,Ý
The Lion Gate is the largest surviving prehistoric sculpture in the Aegean. Where is it located?,Mycenae,Cổng Sư tử là tác phẩm điêu khắc thời tiền sử lớn nhất còn sót lại ở Aegean.Nó nằm ở đâu?,Mycenae
"The Luger pistol, manufactured for the German army during WW2, uses which type of ammo?",9mm Parabellum,"Súng lục Luger, được sản xuất cho quân đội Đức trong Thế chiến 2, sử dụng loại đạn nào?",Parabellum 9mm
The mascot of the 2010 South Africa World Cup was an anthropomorphic leopard with green hair. What was his name?,Zakumi,Linh vật của World Cup Nam Phi 2010 là một con báo có mái tóc màu xanh lá cây.Tên anh ấy là gì?,Zakumi
The military leader Charles Martel was NOT known for which of the following?,Leading cavalry units,Nhà lãnh đạo quân sự Charles Martel KHÔNG được biết đến vì điều nào sau đây?,Đơn vị kỵ binh dẫn đầu
"The more genetic variation a population has, the more likely it is that some individual will what?",Survive,Một quần thể càng có nhiều biến thể di truyền thì càng có nhiều khả năng một cá thể nào đó sẽ làm gì?,Sống sót
The Mughal Empire carried Islam to where?,Most of India,Đế chế Mughal đã đưa đạo Hồi tới đâu?,Phần lớn Ấn Độ
The Museum of Modern Art is located in which American city?,New York,Bảo tàng Nghệ thuật Hiện đại nằm ở thành phố nào của Mỹ?,New York
The novel Romance of the Three Kingdoms begins near the end of which Chinese dynasty?,Han,Tiểu thuyết Tam Quốc Diễn Nghĩa bắt đầu vào gần cuối triều đại nào của Trung Quốc?,Hàn
The Pantheon has been the burial site of many important artists since the Renaissance. Which of the following artists were buried there?,Raphael,Pantheon là nơi chôn cất nhiều nghệ sĩ quan trọng kể từ thời Phục hưng.Nghệ sĩ nào sau đây được chôn cất ở đó?,Raphael
The period after the fall of the Mycenaean civilization and before the birth of the Greek city-states is known as the Greek Dark Ages. Which of these works was written during that time?,The Odyssey,Thời kỳ sau khi nền văn minh Mycenaean sụp đổ và trước khi các thành bang Hy Lạp ra đời được gọi là Thời kỳ Đen tối của Hy Lạp.Tác phẩm nào được viết trong thời gian đó?,Cuộc phiêu lưu
The Phoenician civilization originated in which part of the world?,The Eastern Mediterranean,Nền văn minh Phoenician có nguồn gốc ở khu vực nào trên thế giới?,Đông Địa Trung Hải
"The poet Fernando Pessoa was known for writing his poems as different “characters"", which he called “heteronyms"". Which of these is NOT one of the heteronyms that Pessoa used?",Francisco Norman,"Nhà thơ Fernando Pessoa được biết đến với việc viết những bài thơ của mình dưới dạng những “nhân vật” khác nhau, mà ông gọi là “dị từ”.Cái nào trong số này KHÔNG phải là một trong những từ đồng nghĩa mà Pessoa đã sử dụng?",Francisco Norman
"The prehistoric humans known as “homo floresiensis"" are also commonly referred to as?",Hobbits,Người tiền sử được gọi là “homo floresiensis” cũng thường được gọi là?,Người Hobbit
The process of combining atoms is known as what?,Fusion,Quá trình kết hợp các nguyên tử được gọi là gì?,Sự kết hợp
The process of splitting atoms is known as?,Fission,Quá trình phân tách nguyên tử được gọi là?,sự phân hạch
The Punic Wars were fought by Ancient Rome and what other ancient empire?,Ancient Carthage,Cuộc chiến tranh Punic được tiến hành bởi La Mã cổ đại và đế chế cổ đại nào khác?,Carthage cổ đại
The Qingming Riverside Map captures the daily life and landscape of which ancient Chinese dynasty?,The Song,Bản đồ ven sông Thanh Minh ghi lại cuộc sống đời thường và phong cảnh của triều đại nào của Trung Quốc cổ đại?,bài hát
"The Renaissance was a “rebirth"" of what?",Classical culture,Thời Phục hưng là sự “tái sinh” của cái gì?,Văn hóa cổ điển
"The saying “The Empire on which the sun never sets"" was originally used in reference to which country’s empire?",Spain,Câu nói “Đế chế mặt trời không bao giờ lặn” ban đầu được dùng để chỉ đế quốc của nước nào?,Tây Ban Nha
"The Scoville scale is often used to rate the spiciness of peppers, a higher value denoting greater spiciness. Which of these peppers is rated at over 1 million on the Scoville scale?",Soul pepper,"Thang Scoville thường được sử dụng để đánh giá độ cay của ớt, giá trị càng cao biểu thị độ cay càng lớn.Loại ớt nào trong số này được đánh giá trên 1 triệu trên thang Scoville?",Tiêu hồn
"The Singing Sand Dunes in Dunhuang, China are known for making a loud drumming sound whenever the wind blows. What desert are they a part of?",Kumtag Desert,"Đồi cát Hát ở Đôn Hoàng, Trung Quốc nổi tiếng với việc tạo ra âm thanh trống lớn mỗi khi có gió thổi.Họ là một phần của sa mạc nào?",Sa mạc Kumtag
The Taj Mahal was built during which Indian Dynasty?,The Mughal Dynasty,Taj Mahal được xây dựng từ triều đại nào của Ấn Độ?,Triều đại Mughal
"The Tang dynasty style of pottery decoration known as “sancai"" primarily uses which three colors?","Yellow, green, white",Phong cách trang trí đồ gốm thời nhà Đường được gọi là “sancai” chủ yếu sử dụng ba màu nào?,"Vàng, xanh lá cây, trắng"
The Third Punic War led to the downfall of which state?,Carthage,Chiến tranh Punic lần thứ ba dẫn tới sự sụp đổ của nước nào?,Carthage
"The Three Kingdoms of Korea were Baekje, Silla, and …?",Goguryeo,"Tam Quốc của Hàn Quốc là Bách Tế, Tân La và…?",Goguryeo
The two capitals of Austria-Hungary were Budapest and which other city?,Vienna,Hai thủ đô của Áo-Hungary là Budapest và thành phố nào khác?,Viên
